CONCEPT				POLARITY		INTENSITY
a_little			negative		-0.84
a_little_hungry			positive		0.757
a_little_specific		positive		0.06
a_lot				positive		0.258
a_lot_of_books			positive		0.071
a_lot_of_energy			positive		0.766
a_lot_of_fat			negative		-0.95
a_lot_of_flowers		positive		0.041
a_lot_of_food			positive		0.049
a_lot_of_fun			positive		0.835
a_lot_of_information		positive		0.104
a_lot_of_money			positive		0.131
a_lot_of_noise			negative		-0.92
a_lot_of_people			positive		0.054
a_lot_of_practice		positive		0.875
a_lot_of_sex			positive		0.858
a_lot_of_space			positive		0.851
a_lot_of_stress			negative		-0.10
a_lot_of_study			negative		-0.90
a_lot_of_time			positive		0.953
a_lot_of_work			positive		0.848
aa_gill				negative		-0.66
aa_gun				negative		-0.78
abandon				negative		-0.84
abandoned			negative		-0.85
abandoned_person		negative		-0.79
abandoned_quarry		negative		-0.78
abandonment			negative		-0.82
abase				negative		-0.90
abasement			negative		-0.90
abash				negative		-0.77
abashed				negative		-0.92
abashment			negative		-0.76
abasia				negative		-0.67
abate				negative		-0.86
abatement			negative		-0.85
abattoir			negative		-0.77
abaxial_surface			negative		-0.69
abaxially			negative		-0.71
abba_kovner			negative		-0.77
abbandono			positive		0.703
abbreviate			positive		0.046
abc				negative		-0.79
abc_dancing_with		positive		0.831
abc_drama			positive		0.582
abc_paramount			positive		0.095
abc_television			positive		0.045
abc_tv				positive		0.045
abdel				positive		0.763
abdicate			negative		-0.81
abdication			negative		-0.80
abdomen				positive		0.837
abdominal			negative		-0.08
abdominal_aortic		negative		-0.63
abdominal_cavity		negative		-0.80
abdominal_discomfort		negative		-0.11
abdominal_distension		positive		0.793
abdominal_distention		negative		-0.71
abdominal_ectopic_gestation	negative		-0.73
abdominal_incision		positive		0.788
abdominal_muscle		positive		0.106
abdominal_pain			negative		-0.20
abdominal_pregnancy		negative		-0.73
abdominal_viscera		negative		-0.87
abdominal_wall			negative		-0.04
abdominoplasty			positive		0.788
abducens_nerve			negative		-0.80
abduct				negative		-0.47
abduction			negative		-0.86
abductor			positive		0.781
abductor_digiti_minimi		positive		0.781
abductor_muscle			positive		0.781
abelisauridae			negative		-0.80
aberdeen_angus_cattle		positive		0.683
aberrance			negative		-0.86
aberrancy			negative		-0.81
aberrant			negative		-0.78
aberrantly			positive		0.857
aberration			negative		-0.75
abetalipoproteinemia		negative		-0.76
abhominable			negative		-0.67
abhor				negative		-0.29
abhorrence			negative		-0.29
abhorrent			negative		-0.33
abhorreth			negative		-0.32
abidance			positive		0.778
abide				positive		0.068
abide_by			positive		0.652
abided_by			positive		0.652
abideth				positive		0.711
abiding_love			positive		0.767
abience				negative		-0.90
ability				positive		0.129
ability_communicate		positive		0.849
ability_hear			positive		0.708
ability_read			positive		0.994
ability_see			positive		0.837
abimelech			negative		-0.65
abject				negative		-0.82
abject_misery			negative		-0.76
abject_poverty			negative		-0.38
abjection			negative		-0.52
abjectly			negative		-0.76
abjure				negative		-0.72
ablate				negative		-0.83
ablate_down			negative		-0.69
ablate_off			negative		-0.68
ablate_out			negative		-0.69
ablate_thin			negative		-0.69
ablaut				positive		0.736
ablaze				positive		0.724
able				positive		0.778
able_eat			positive		0.756
able_hear			positive		0.847
able_read			positive		0.865
able_run			positive		0.775
able_see			positive		0.087
able_use			positive		0.856
ablest				positive		0.746
ablution			negative		-0.89
abnegate			negative		-0.94
abnormal			negative		-0.64
abnormal_bone			negative		-0.06
abnormal_brain			positive		0.757
abnormal_cardiac		negative		-0.67
abnormal_curvature		negative		-0.90
abnormal_enlargement		negative		-0.81
abnormal_gait			positive		0.776
abnormal_gene			negative		-0.78
abnormal_heart_rhythm		negative		-0.20
abnormal_lipid			positive		0.08
abnormal_liver_function		positive		0.829
abnormal_posture		positive		0.776
abnormal_prion			positive		0.905
abnormal_rhythm			negative		-0.77
abnormalcy			negative		-0.86
abnormality			negative		-0.86
abnormally_prominent		positive		0.637
abnormally_short		positive		0.637
abnormally_thick		positive		0.805
abode				positive		0.066
aboleth				negative		-0.75
abolish				positive		0.357
abolish_capital_punishment	negative		-0.17
abolished_capital_punishment	negative		-0.17
abolished_corporal_punishment	negative		-0.85
abolishing_capital_punishment	negative		-0.17
abolition			negative		-0.64
abomasum			positive		0.055
abominable			negative		-0.95
abominable_snowman		negative		-0.88
abominably			negative		-0.33
abominate			negative		-0.29
abomination			negative		-0.29
abominator			negative		-0.75
aboot				positive		0.026
aboriginal			positive		0.051
aboriginal_youth		positive		0.037
abort				negative		-0.87
abortion			negative		-0.86
abortion_ban			negative		-0.86
abortion_jurisprudence		negative		-0.77
abortionist			positive		0.867
abortive			negative		-0.78
abortus				negative		-0.96
abound				positive		0.967
above				positive		0.837
above_all			positive		0.832
above_average_rainfall		negative		-0.07
above_earth			positive		0.078
above_leg			positive		0.038
above_reproach			negative		-0.68
abowte				negative		-0.32
abracadabra			positive		0.852
abrade				negative		-0.82
abrasion			negative		-0.08
abrasion_resistance		positive		0.794
abrasion_resistant		positive		0.045
abrasive			negative		-0.04
abrasively			negative		-0.82
abreaction			positive		0.736
abridge				positive		0.791
abridgement			positive		0.075
abroad				positive		0.761
abrogate			negative		-0.82
abrogation			negative		-0.86
abrupt				negative		-0.82
abrupt_departure		negative		-0.85
abrupt_drop			positive		0.865
abrupt_onset			negative		-0.69
abrupt_resignation		negative		-0.85
abruptio_placenta		negative		-0.73
abruptly			negative		-0.78
abruptness			negative		-0.69
abs_plastic			positive		0.355
abscess_cavity			negative		-0.70
abscess_formation		negative		-0.58
abscessed			negative		-0.59
abscisic_acid			negative		-0.67
abscission			negative		-0.67
abscond				negative		-0.83
abseil				negative		-0.80
absence				negative		-0.38
absence_of_communication	negative		-0.83
absence_of_danger		positive		0.357
absence_of_light		negative		-0.83
absence_of_risk			positive		0.357
absence_seizure			negative		-0.83
absent				negative		-0.82
absent-minded			negative		-0.82
absentee			negative		-0.66
absenteeism			positive		0.722
absently			positive		0.308
absolute			positive		0.208
absolute_accuracy		positive		0.849
absolute_alcohol		negative		-0.87
absolute_discretion		positive		0.818
absolute_dominion		negative		-0.59
absolute_equality		positive		0.105
absolute_idealism		positive		0.729
absolute_immunity		positive		0.816
absolute_joy			positive		0.87
absolute_liability		negative		-0.72
absolute_loyalty		positive		0.894
absolute_monarch		positive		0.057
absolute_monarchy		negative		-0.83
absolute_necessity		negative		-0.86
absolute_negativity		negative		-0.71
absolute_nonsense		positive		0.78
absolute_perfection		positive		0.82
absolute_pitch			positive		0.92
absolute_power			negative		-0.87
absolute_prohibition		negative		-0.84
absolute_refractory_period	negative		-0.91
absolute_rubbish		positive		0.78
absolute_ruler			positive		0.057
absolute_silence		positive		0.196
absolute_truth			positive		0.208
absolute_value			positive		0.047
absolute_veto			negative		-0.68
absolute_vodka			negative		-0.87
absolutely			positive		0.883
absolutely_brilliant		positive		0.87
absolutely_clear		negative		-0.64
absolutely_critical		positive		0.252
absolutely_crucial		positive		0.252
absolutely_essential		positive		0.252
absolutely_false		negative		-0.03
absolutely_fantastic		positive		0.87
absolutely_impossible		negative		-0.85
absolutely_incapable		negative		-0.63
absolutely_necessary		negative		-0.78
absolutely_perfect		positive		0.867
absolutely_stunning		positive		0.87
